Date,Price,Open,High,Low
"Mar 28, 2014",21.0,20.0,21.0,20.0
"Mar 31, 2014",20.5,20.0,20.5,20.0
"Apr 01, 2014",21.0,20.5,21.0,20.0
"Apr 02, 2014",21.0,21.0,21.0,21.0
"Apr 03, 2014",20.5,20.5,20.5,20.0
"Apr 04, 2014",20.5,20.5,21.0,20.5
"Apr 07, 2014",21.0,20.5,21.0,20.5
"Apr 08, 2014",21.0,21.0,22.5,20.5
"Apr 09, 2014",22.0,21.5,22.0,21.0
"Apr 10, 2014",21.5,21.5,21.5,21.5
"Apr 11, 2014",20.5,21.0,21.0,20.5
"Apr 14, 2014",20.5,21.5,21.5,20.5
"Apr 15, 2014",20.5,20.5,20.5,20.5
"Apr 16, 2014",20.5,20.5,20.5,20.5
"Apr 17, 2014",20.5,20.5,20.5,20.5
"Apr 22, 2014",20.0,20.5,20.5,20.0
"Apr 23, 2014",19.5,20.0,20.5,19.5
"Apr 24, 2014",20.0,20.0,20.5,19.5
"Apr 25, 2014",19.5,19.5,20.0,19.5
"Apr 28, 2014",20.0,19.0,20.0,19.0
"Apr 29, 2014",20.0,20.0,20.0,20.0
"Apr 30, 2014",20.0,20.0,20.0,20.0
"May 02, 2014",20.0,19.5,20.0,19.5
"May 05, 2014",20.0,20.0,20.0,20.0
"May 06, 2014",19.5,20.0,20.5,19.5
"May 07, 2014",20.0,19.5,20.0,19.5
"May 08, 2014",19.5,19.5,20.0,19.5
"May 09, 2014",19.5,19.5,19.5,19.0
"May 12, 2014",19.0,19.0,19.0,19.0
"May 13, 2014",19.0,19.0,19.5,19.0
"May 14, 2014",19.0,18.5,19.5,18.5
"May 15, 2014",19.0,18.5,19.0,18.5
"May 16, 2014",19.0,19.0,19.0,18.5
"May 19, 2014",19.0,19.0,19.0,18.5
"May 20, 2014",18.5,19.0,19.0,18.5
"May 21, 2014",18.0,18.5,19.0,17.0
"May 22, 2014",17.5,17.0,18.0,16.5
"May 23, 2014",17.5,17.5,17.5,17.0
